code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603787,N新日,文教休闲,江苏,29.16,0.51,2.04,153658.98,113581.6,26922.81,0.0,0.0,0.075,3.58,2.45,20170427,35081.14,1.72,0.0,0.0,14.22,2.87,50759
002867,N周大生,服饰,深圳,27.48,0.77,4.78,251806.25,231450.63,1465.16,29416.38,0.62,0.261,4.33,6.62,20170427,87783.65,1.84,0.0,0.0,33.93,15.55,134016
300172,中电环保,环境保护,江苏,123.08,3.41,5.07,175384.2,118877.63,10352.33,12160.7,0.24,0.024,2.21,5.35,20110201,44206.12,0.87,21.49,5.23,25.4,8.99,39823
601008,连云港,港口,江苏,798.26,10.15,10.15,690886.63,58052.03,371866.16,161476.69,1.59,0.006999999999999999,3.16,2.43,20070426,43717.82,0.43,-6.87,-83.53,25.28,0.83,86099
601228,广州港,港口,广东,95.08,6.99,61.93,2096689.38,284503.47,1135228.38,100512.78,0.16,0.10800000000000001,1.82,5.66,20170329,314446.72,0.51,15.27,-0.24,25.49,8.67,548899
600388,龙净环保,环境保护,福建,28.86,10.69,10.69,1424639.38,1250533.5,93133.07,47787.46,0.45,0.402,3.54,4.37,20001229,202158.31,1.89,9.79,10.25,24.29,8.71,146160
000852,石化机械,化工机械,湖北,0.0,5.98,5.98,657348.75,505724.25,126490.97,94717.9,1.58,-0.18,2.68,4.54,19981126,-12983.96,-0.22,-13.17,-13.79,6.62,-18.61,21960
300304,云意电气,汽车配件,江苏,87.72,8.39,8.62,204404.88,142450.2,51593.75,95679.4,1.11,0.128,1.84,6.1,20120321,34202.31,0.4,24.13,55.71,34.03,20.55,25031
300632,光莆股份,半导体,福建,79.8,0.29,1.16,46965.71,23470.38,19792.46,4097.66,0.35,0.37200000000000005,3.28,9.03,20170406,14619.11,1.26,0.0,0.0,31.43,13.42,53145
300637,扬帆新材,化工原料,浙江,60.14,0.3,1.2,45068.46,25045.67,16878.31,8135.9,0.68,0.502,3.1,9.75,20170412,9226.05,0.77,0.29,44.33,34.83,15.64,54994
300514,友讯达,互联网,深圳,38.14,0.25,1.0,46100.73,44065.12,1356.1,5663.24,0.57,0.08800000000000001,3.21,4.17,20170426,9681.07,0.97,0.0,0.0,44.45,10.46,47034
603826,坤彩科技,染料涂料,福建,68.72,0.9,3.6,84754.18,29660.25,36664.62,3284.83,0.09,0.302,1.82,11.41,20170414,16668.35,0.46,24.67,8.22,46.91,26.64,85721
300641,正丹股份,化工原料,江苏,53.44,0.72,2.88,94441.56,70094.81,19051.0,3939.23,0.14,0.132,2.69,10.49,20170418,28954.4,1.01,0.0,0.0,22.68,13.23,123092
603717,天域生态,环境保护,重庆,58.34,0.43,1.73,148173.72,133743.36,1548.83,12737.9,0.74,0.636,4.64,8.01,20170327,31289.65,1.81,0.64,11.91,30.18,13.31,39348
000736,中房地产,全国地产,重庆,53.31,2.97,2.97,1534926.5,1512726.38,4393.49,25407.03,0.85,0.317,5.19,4.34,19970425,94760.96,3.19,365.62,346.31,22.43,5.33,10879
300604,长川科技,专用机械,浙江,139.43,0.19,0.76,26739.76,22913.82,446.57,9503.65,1.25,0.055,3.82,8.03,20170417,5872.1,0.77,0.0,0.0,54.38,20.45,35160
603081,大丰实业,专用机械,浙江,66.03,0.52,4.02,183072.97,134155.52,25226.28,5280.75,0.13,0.092,2.46,9.83,20170420,40209.3,1.0,0.0,0.0,31.46,13.87,48245
300645,正元智慧,软件服务,浙江,0.0,0.17,0.67,51282.05,42617.01,697.92,13548.47,2.03,-0.09,6.77,3.85,20170421,13727.62,2.06,0.0,0.0,40.78,-8.99,30724
300636,同和药业,化学制药,江西,59.42,0.2,0.8,41896.05,21353.2,19087.25,12014.51,1.5,0.725,5.08,8.48,20170331,11218.73,1.4,-9.0,-7.77,38.71,23.19,36800
603050,科林电气,电气设备,河北,70.04,0.33,1.33,115509.52,91858.75,17766.82,21121.35,1.58,0.499,6.21,5.63,20170414,28356.39,2.13,31.09,17.48,28.79,8.38,32980
000605,渤海股份,水务,北京,205.62,1.23,2.52,346469.44,71213.31,109560.4,49125.07,1.95,0.22,5.37,6.47,19960913,31637.39,1.26,4.93,-6.2,22.91,5.33,20785
603186,华正新材,元器件,浙江,60.87,0.32,1.29,138381.41,101287.46,22025.24,18870.24,1.46,0.87,4.2,9.5,20170103,19988.31,1.55,40.56,107.65,21.98,6.79,10507
002863,今飞凯达,汽车配件,浙江,46.63,0.56,2.22,290186.03,134217.45,127243.77,9150.5,0.41,0.33,3.55,4.34,20170418,29371.68,1.33,7.62,27.19,17.34,3.19,97808
300619,金银河,专用机械,广东,280.27,0.19,0.75,64618.45,53298.19,5905.9,18789.59,2.52,0.06,5.07,10.78,20170301,9774.76,1.31,0.0,0.0,29.08,7.3,21126
300562,乐心医疗,医疗保健,广东,196.39,0.47,1.89,65526.11,46626.89,7197.96,25168.0,1.33,0.052000000000000005,2.73,14.97,20161116,18211.88,0.96,0.0,0.0,28.4,5.72,11800
603538,美诺华,化学制药,浙江,81.97,0.3,1.2,138435.17,77913.18,23893.7,52179.05,4.35,0.12,9.2,3.94,20170407,45213.05,3.77,0.0,0.0,35.46,9.13,29922
603078,江化微,化工原料,江苏,61.44,0.15,0.6,55547.93,34429.05,15265.37,5922.65,0.99,1.149,8.49,8.32,20170410,25510.07,4.25,2.28,11.32,41.41,20.7,15013
603232,格尔软件,软件服务,上海,132.61,0.15,0.61,33287.34,22534.4,6124.56,5276.22,0.86,0.07200000000000001,6.46,5.9,20170421,17201.34,2.82,0.0,0.0,64.73,9.17,15369
