code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002347,泰尔股份,机械基件,安徽,372.93,3.28,4.49,176564.44,120398.22,30186.64,52057.28,1.16,0.005,2.72,2.93,20100128,21514.38,0.48,0.82,-30.52,34.84,2.89,47000
000709,河钢股份,普钢,河北,43.0,106.17,106.19,17854344.0,5346177.5,8677997.0,2320581.5,2.19,0.08800000000000001,4.17,1.21,19970416,833410.19,0.78,-3.4,83.9,12.78,1.58,454348
002342,巨力索具,机械基件,河北,193.78,8.66,9.6,412299.91,226275.41,143147.8,67299.28,0.7,0.015,2.53,4.5,20100126,68030.03,0.71,-8.6,26.93,19.18,4.32,64443
002542,中化岩土,建筑施工,北京,88.14,6.22,18.0,566337.25,357903.25,95837.7,73689.18,0.41,0.138,1.81,6.73,20110128,63450.88,0.35,19.48,9.46,25.8,10.77,38421
603787,新日股份,摩托车,江苏,32.09,0.51,2.04,153658.98,113581.6,26922.81,0.0,0.0,0.075,3.58,2.7,20170427,35081.14,1.72,0.0,0.0,14.22,2.87,50759
002865,钧达股份,汽车配件,海南,40.55,0.3,1.2,152032.42,89750.21,36976.55,17157.55,1.43,0.14,6.34,2.74,20170425,30074.58,2.51,0.0,0.0,24.77,4.79,55732
603797,联泰环保,环境保护,广东,94.67,0.53,2.13,240982.3,13236.45,519.81,26162.51,1.23,0.065,4.45,5.5,20170413,27277.73,1.28,0.0,0.0,57.71,30.76,49067
603826,坤彩科技,染料涂料,福建,75.61,0.9,3.6,84754.18,29660.25,36664.62,3284.83,0.09,0.302,1.82,12.55,20170414,16668.35,0.46,24.67,8.22,46.91,26.64,85721
002125,湘潭电化,化工原料,湖南,194.55,2.23,3.46,217851.16,71055.2,92799.32,69002.52,2.0,0.064,3.05,4.11,20070403,151.3,0.0,5.14,94.49,23.59,3.38,26434
300604,长川科技,专用机械,浙江,153.4,0.19,0.76,26739.76,22913.82,446.57,9503.65,1.25,0.055,3.82,8.83,20170417,5872.1,0.77,0.0,0.0,54.38,20.45,35160
603050,科林电气,电气设备,河北,77.05,0.33,1.33,115509.52,91858.75,17766.82,21121.35,1.58,0.499,6.21,6.19,20170414,28356.39,2.13,31.09,17.48,28.79,8.38,32980
603081,大丰实业,专用机械,浙江,72.64,0.52,4.02,183072.97,134155.52,25226.28,5280.75,0.13,0.092,2.46,10.81,20170420,40209.3,1.0,0.0,0.0,31.46,13.87,48245
603232,格尔软件,软件服务,上海,145.88,0.15,0.61,33287.34,22534.4,6124.56,5276.22,0.86,0.07200000000000001,6.46,6.49,20170421,17201.34,2.82,0.0,0.0,64.73,9.17,15369
600679,上海凤凰,文教休闲,上海,263.15,1.87,4.02,181788.67,58208.6,13125.97,76253.36,1.9,0.026000000000000002,3.15,8.68,19931008,-4467.48,-0.11,184.19,84.32,16.33,3.65,59002
002867,周大生,服饰,深圳,30.23,0.77,4.78,251806.25,231450.63,1465.16,29416.38,0.62,0.261,4.33,7.29,20170427,87783.65,1.84,0.0,0.0,33.93,15.55,134016
002863,今飞凯达,汽车配件,浙江,65.73,0.56,2.22,314819.25,161143.05,126320.42,9150.5,0.41,0.09,3.63,4.66,20170418,30797.9,1.39,0.0,0.0,19.61,2.72,97808
300334,津膜科技,专用机械,天津,990.94,2.75,2.76,245226.95,158348.09,24501.46,69008.11,2.5,0.004,4.83,3.69,20120705,32150.66,1.16,74.88,11.53,31.59,0.89,17619
000856,冀东装备,机械基件,河北,825.63,2.27,2.27,165711.94,130476.27,7718.7,38870.01,1.71,0.011000000000000001,1.3,27.75,19980813,-35662.0,-1.57,111.19,110.6,9.2,0.6,12229
603920,世运电路,元器件,广东,53.25,0.89,4.02,151385.02,98367.03,44256.93,14171.2,0.35,0.12300000000000001,3.08,8.53,20170426,42448.6,1.06,0.0,0.0,25.78,12.6,78874
300514,友讯达,通信设备,深圳,41.96,0.25,1.0,46100.73,44065.12,1356.1,5663.24,0.57,0.08800000000000001,3.21,4.59,20170426,9681.07,0.97,0.0,0.0,44.45,10.46,47034
300122,智飞生物,生物制药,重庆,138.6,8.62,16.0,270322.13,110589.55,61136.38,20796.47,0.13,0.038,1.61,12.95,20100928,69029.43,0.43,12.89,1.89,93.82,37.18,10293
002858,力盛赛车,文教休闲,上海,124.18,0.16,0.63,27191.9,17527.09,5828.14,5264.85,0.83,0.517,4.7,13.67,20170324,11122.82,1.76,9.67,32.23,33.33,13.56,29413
002141,贤丰控股,元器件,广东,578.54,6.37,11.35,143086.77,120209.38,16916.72,9336.41,0.08,0.003,1.15,6.22,20070720,5747.25,0.05,45.41,386.59,11.9,1.45,80822
300642,透景生命,医疗保健,上海,99.12,0.15,0.6,35282.6,22155.84,9853.07,6551.31,1.09,0.21100000000000002,6.7,12.5,20170421,17194.35,2.87,0.0,0.0,82.18,28.92,12
000923,河北宣工,工程机械,河北,0.0,1.98,1.98,135697.02,76592.15,41847.51,16355.75,0.83,-0.024,2.06,19.21,19990714,531.75,0.03,1.05,-476.13,22.83,-7.01,35815
